"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[FAA-H]-","[EFA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[FAA-H]-","[EFA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer_EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[FAA-H]-","[EFA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer_EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[FAA-H]-","[EFA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer_EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[FAA-H]-","[EFA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[FAA-H]-","[EFA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer_EOS(d20:1/16:1/O-24:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:1/O-24:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:1/O-24:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:1/O-24:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:1/O-24:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:1/O-24:3)-H","922.82335","686.60935","402.33835","376.32265","253.21785","265.25425","12.8435803030303","13.1435803030303","4247"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","2.68040454545455","2.98040454545455","1197"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","15.117203030303","15.417203030303","1595"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","14.953103030303","15.253103030303","2435"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","11.1444287878788","11.4444287878788","2624"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","14.8434878787879","15.1434878787879","3032"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","1.92953181818182","2.22953181818182","3134"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","12.4709984848485","12.7709984848485","3620"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","14.7425803030303","15.0425803030303","3623"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","12.8412348484848","13.1412348484848","3628"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","1.7236696969697","2.0236696969697","4014"
"","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:2/O-24:2)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/16:2/O-24:2)-H","922.82335","688.62495","404.35395","378.33835","251.20225","265.25425","12.8435803030303","13.1435803030303","4247"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","2.68040454545455","2.98040454545455","1197"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","15.117203030303","15.417203030303","1595"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","14.953103030303","15.253103030303","2435"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","11.1444287878788","11.4444287878788","2624"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","14.8434878787879","15.1434878787879","3032"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","1.92953181818182","2.22953181818182","3134"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","12.4709984848485","12.7709984848485","3620"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","14.7425803030303","15.0425803030303","3623"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","12.8412348484848","13.1412348484848","3628"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","1.7236696969697","2.0236696969697","4014"
"","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:0/O-22:4)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:0/O-22:4)-H","922.82335","656.56235","372.29135","346.27565","283.26485","265.25425","12.8435803030303","13.1435803030303","4247"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","2.68040454545455","2.98040454545455","1197"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","15.117203030303","15.417203030303","1595"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.953103030303","15.253103030303","2435","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","14.953103030303","15.253103030303","2435"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"11.1444287878788","11.4444287878788","2624","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","11.1444287878788","11.4444287878788","2624"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.8434878787879","15.1434878787879","3032","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","14.8434878787879","15.1434878787879","3032"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.92953181818182","2.22953181818182","3134","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","1.92953181818182","2.22953181818182","3134"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.4709984848485","12.7709984848485","3620","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","12.4709984848485","12.7709984848485","3620"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"14.7425803030303","15.0425803030303","3623","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","14.7425803030303","15.0425803030303","3623"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8412348484848","13.1412348484848","3628","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","12.8412348484848","13.1412348484848","3628"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"1.7236696969697","2.0236696969697","4014","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","1.7236696969697","2.0236696969697","4014"
"","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:1/O-22:3)-H",0,0,0,0,0,0,"12.8435803030303","13.1435803030303","4247","","Cer_EOS(d20:1/18:1/O-22:3)-H","922.82335","658.57805","374.30705","348.29135","281.24915","265.25425","12.8435803030303","13.1435803030303","4247"
"","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"2.68040454545455","2.98040454545455","1197","","Cer_EOS(d20:1/18:2/O-22:2)-H","922.82335","660.59365","376.32265","350.30705","279.23355","265.25425","2.68040454545455","2.98040454545455","1197"
"","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:2/O-22:2)-H",0,0,0,0,0,0,"15.117203030303","15.417203030303","1595","","Cer_EOS(d20:1/18:2/O-22:2)-H","922.82335","660.59365","376.32265","350.30705","279.23355","265.25425","15.117203030303","15.417203030303","1595"
