Cer_AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t21:1/33:3)+HCO2,888.76615,842.76065,558.48865,503.44755,457.44205,265.25315
Cer_AP(t21:1/33:4)+HCO2,886.75055,840.74505,556.47295,501.43185,455.42635,265.25315
Cer_AP(t21:1/34:0)+HCO2,908.82875,862.82335,578.55125,523.51015,477.50465,265.25315
Cer_AP(t21:1/34:1)+HCO2,906.81315,860.80765,576.53555,521.49455,475.48895,265.25315
Cer_AP(t21:1/34:2)+HCO2,904.79745,858.79195,574.51995,519.47885,473.47335,265.25315
Cer_AP(t21:1/34:3)+HCO2,902.78185,856.77635,572.50425,517.46315,471.45775,265.25315
Cer_AP(t21:1/34:4)+HCO2,900.76615,854.76065,570.48865,515.44755,469.44205,265.25315
Cer_AP(t21:1/35:0)+HCO2,922.84445,876.83895,592.56685,537.52575,491.52025,265.25315
Cer_AP(t21:1/35:1)+HCO2,920.82875,874.82335,590.55125,535.51015,489.50465,265.25315
Cer_AP(t21:1/35:2)+HCO2,918.81315,872.80765,588.53555,533.49455,487.48895,265.25315
Cer_AP(t21:1/35:3)+HCO2,916.79745,870.79195,586.51995,531.47885,485.47335,265.25315
Cer_AP(t21:1/35:4)+HCO2,914.78185,868.77635,584.50425,529.46315,483.45775,265.25315
Cer_AP(t21:1/36:0)+HCO2,936.86015,890.85465,606.58255,551.54145,505.53595,265.25315
Cer_AP(t21:1/36:1)+HCO2,934.84445,888.83895,604.56685,549.52575,503.52025,265.25315
Cer_AP(t21:1/36:2)+HCO2,932.82875,886.82335,602.55125,547.51015,501.50465,265.25315
Cer_AP(t21:1/36:3)+HCO2,930.81315,884.80765,600.53555,545.49455,499.48895,265.25315
Cer_AP(t21:1/36:4)+HCO2,928.79745,882.79195,598.51995,543.47885,497.47335,265.25315
Cer_AP(t22:1/14:0)+HCO2,642.53145,596.52595,298.23825,243.19715,197.19165,279.26875
Cer_AP(t22:1/14:1)+HCO2,640.51585,594.51035,296.22255,241.18145,195.17595,279.26875
Cer_AP(t22:1/14:2)+HCO2,638.50015,592.49465,294.20695,239.16585,193.16035,279.26875
Cer_AP(t22:1/14:3)+HCO2,636.48445,590.47905,292.19125,237.15015,191.14465,279.26875
Cer_AP(t22:1/15:0)+HCO2,656.54705,610.54165,312.25385,257.21275,211.20725,279.26875
Cer_AP(t22:1/15:1)+HCO2,654.53145,608.52595,310.23825,255.19715,209.19165,279.26875
Cer_AP(t22:1/15:2)+HCO2,652.51585,606.51035,308.22255,253.18145,207.17595,279.26875
Cer_AP(t22:1/15:3)+HCO2,650.50015,604.49465,306.20695,251.16585,205.16035,279.26875
Cer_AP(t22:1/16:0)+HCO2,670.56275,624.55725,326.26955,271.22845,225.22295,279.26875
Cer_AP(t22:1/16:1)+HCO2,668.54705,622.54165,324.25385,269.21275,223.20725,279.26875
Cer_AP(t22:1/16:2)+HCO2,666.53145,620.52595,322.23825,267.19715,221.19165,279.26875
Cer_AP(t22:1/16:3)+HCO2,664.51585,618.51035,320.22255,265.18145,219.17595,279.26875
Cer_AP(t22:1/16:4)+HCO2,662.50015,616.49465,318.20695,263.16585,217.16035,279.26875
Cer_AP(t22:1/17:0)+HCO2,684.57835,638.57285,340.28515,285.24405,239.23855,279.26875
Cer_AP(t22:1/17:1)+HCO2,682.56275,636.55725,338.26955,283.22845,237.22295,279.26875
Cer_AP(t22:1/17:2)+HCO2,680.54705,634.54165,336.25385,281.21275,235.20725,279.26875
Cer_AP(t22:1/17:3)+HCO2,678.53145,632.52595,334.23825,279.19715,233.19165,279.26875
Cer_AP(t22:1/18:0)+HCO2,698.59405,652.58855,354.30085,299.25975,253.25425,279.26875
Cer_AP(t22:1/18:1)+HCO2,696.57835,650.57285,352.28515,297.24405,251.23855,279.26875
Cer_AP(t22:1/18:2)+HCO2,694.56275,648.55725,350.26955,295.22845,249.22295,279.26875
Cer_AP(t22:1/18:3)+HCO2,692.54705,646.54165,348.25385,293.21275,247.20725,279.26875
Cer_AP(t22:1/18:4)+HCO2,690.53145,644.52595,346.23825,291.19715,245.19165,279.26875
Cer_AP(t22:1/19:0)+HCO2,712.60965,666.60415,368.31645,313.27535,267.26985,279.26875
Cer_AP(t22:1/19:1)+HCO2,710.59405,664.58855,366.30085,311.25975,265.25425,279.26875
Cer_AP(t22:1/19:2)+HCO2,708.57835,662.57285,364.28515,309.24405,263.23855,279.26875
Cer_AP(t22:1/19:3)+HCO2,706.56275,660.55725,362.26955,307.22845,261.22295,279.26875
Cer_AP(t22:1/19:4)+HCO2,704.54705,658.54165,360.25385,305.21275,259.20725,279.26875
Cer_AP(t22:1/20:0)+HCO2,726.62535,680.61985,382.33215,327.29105,281.28555,279.26875
Cer_AP(t22:1/20:1)+HCO2,724.60965,678.60415,380.31645,325.27535,279.26985,279.26875
Cer_AP(t22:1/20:2)+HCO2,722.59405,676.58855,378.30085,323.25975,277.25425,279.26875
Cer_AP(t22:1/20:3)+HCO2,720.57835,674.57285,376.28515,321.24405,275.23855,279.26875
Cer_AP(t22:1/20:4)+HCO2,718.56275,672.55725,374.26955,319.22845,273.22295,279.26875
Cer_AP(t22:1/21:0)+HCO2,740.64095,694.63545,396.34775,341.30665,295.30115,279.26875
Cer_AP(t22:1/21:1)+HCO2,738.62535,692.61985,394.33215,339.29105,293.28555,279.26875
Cer_AP(t22:1/21:2)+HCO2,736.60965,690.60415,392.31645,337.27535,291.26985,279.26875
Cer_AP(t22:1/21:3)+HCO2,734.59405,688.58855,390.30085,335.25975,289.25425,279.26875
Cer_AP(t22:1/21:4)+HCO2,732.57835,686.57285,388.28515,333.24405,287.23855,279.26875
Cer_AP(t22:1/22:0)+HCO2,754.65665,708.65115,410.36345,355.32235,309.31685,279.26875
Cer_AP(t22:1/22:1)+HCO2,752.64095,706.63545,408.34775,353.30665,307.30115,279.26875
Cer_AP(t22:1/22:2)+HCO2,750.62535,704.61985,406.33215,351.29105,305.28555,279.26875
Cer_AP(t22:1/22:3)+HCO2,748.60965,702.60415,404.31645,349.27535,303.26985,279.26875
Cer_AP(t22:1/22:4)+HCO2,746.59405,700.58855,402.30085,347.25975,301.25425,279.26875
Cer_AP(t22:1/23:0)+HCO2,768.67235,722.66685,424.37905,369.33795,323.33245,279.26875
Cer_AP(t22:1/23:1)+HCO2,766.65665,720.65115,422.36345,367.32235,321.31685,279.26875
Cer_AP(t22:1/23:2)+HCO2,764.64095,718.63545,420.34775,365.30665,319.30115,279.26875
Cer_AP(t22:1/23:3)+HCO2,762.62535,716.61985,418.33215,363.29105,317.28555,279.26875
Cer_AP(t22:1/23:4)+HCO2,760.60965,714.60415,416.31645,361.27535,315.26985,279.26875
Cer_AP(t22:1/24:0)+HCO2,782.68795,736.68245,438.39475,383.35365,337.34815,279.26875
Cer_AP(t22:1/24:1)+HCO2,780.67235,734.66685,436.37905,381.33795,335.33245,279.26875
Cer_AP(t22:1/24:2)+HCO2,778.65665,732.65115,434.36345,379.32235,333.31685,279.26875
Cer_AP(t22:1/24:3)+HCO2,776.64095,730.63545,432.34775,377.30665,331.30115,279.26875
Cer_AP(t22:1/24:4)+HCO2,774.62535,728.61985,430.33215,375.29105,329.28555,279.26875
Cer_AP(t22:1/25:0)+HCO2,796.70355,750.69815,452.41045,397.36925,351.36385,279.26875
Cer_AP(t22:1/25:1)+HCO2,794.68795,748.68245,450.39475,395.35365,349.34815,279.26875
Cer_AP(t22:1/25:2)+HCO2,792.67235,746.66685,448.37905,393.33795,347.33245,279.26875
Cer_AP(t22:1/25:3)+HCO2,790.65665,744.65115,446.36345,391.32235,345.31685,279.26875
Cer_AP(t22:1/25:4)+HCO2,788.64095,742.63545,444.34775,389.30665,343.30115,279.26875
Cer_AP(t22:1/26:0)+HCO2,810.71925,764.71375,466.42605,411.38495,365.37945,279.26875
Cer_AP(t22:1/26:1)+HCO2,808.70355,762.69815,464.41045,409.36925,363.36385,279.26875
Cer_AP(t22:1/26:2)+HCO2,806.68795,760.68245,462.39475,407.35365,361.34815,279.26875
Cer_AP(t22:1/26:3)+HCO2,804.67235,758.66685,460.37905,405.33795,359.33245,279.26875
Cer_AP(t22:1/26:4)+HCO2,802.65665,756.65115,458.36345,403.32235,357.31685,279.26875
Cer_AP(t22:1/27:0)+HCO2,824.73485,778.72945,480.44165,425.40055,379.39505,279.26875
Cer_AP(t22:1/27:1)+HCO2,822.71925,776.71375,478.42605,423.38495,377.37945,279.26875
Cer_AP(t22:1/27:2)+HCO2,820.70355,774.69815,476.41045,421.36925,375.36385,279.26875
Cer_AP(t22:1/27:3)+HCO2,818.68795,772.68245,474.39475,419.35365,373.34815,279.26875
Cer_AP(t22:1/27:4)+HCO2,816.67235,770.66685,472.37905,417.33795,371.33245,279.26875
Cer_AP(t22:1/28:0)+HCO2,838.75055,792.74505,494.45735,439.41625,393.41075,279.26875
Cer_AP(t22:1/28:1)+HCO2,836.73485,790.72945,492.44165,437.40055,391.39505,279.26875
Cer_AP(t22:1/28:2)+HCO2,834.71925,788.71375,490.42605,435.38495,389.37945,279.26875
Cer_AP(t22:1/28:3)+HCO2,832.70355,786.69815,488.41045,433.36925,387.36385,279.26875
Cer_AP(t22:1/28:4)+HCO2,830.68795,784.68245,486.39475,431.35365,385.34815,279.26875
Cer_AP(t22:1/29:0)+HCO2,852.76615,806.76065,508.47295,453.43185,407.42635,279.26875
Cer_AP(t22:1/29:1)+HCO2,850.75055,804.74505,506.45735,451.41625,405.41075,279.26875
Cer_AP(t22:1/29:2)+HCO2,848.73485,802.72945,504.44165,449.40055,403.39505,279.26875
Cer_AP(t22:1/29:3)+HCO2,846.71925,800.71375,502.42605,447.38495,401.37945,279.26875
Cer_AP(t22:1/29:4)+HCO2,844.70355,798.69815,500.41045,445.36925,399.36385,279.26875
Cer_AP(t22:1/30:0)+HCO2,866.78185,820.77635,522.48865,467.44755,421.44205,279.26875
Cer_AP(t22:1/30:1)+HCO2,864.76615,818.76065,520.47295,465.43185,419.42635,279.26875
Cer_AP(t22:1/30:2)+HCO2,862.75055,816.74505,518.45735,463.41625,417.41075,279.26875
Cer_AP(t22:1/30:3)+HCO2,860.73485,814.72945,516.44175,461.40055,415.39505,279.26875
Cer_AP(t22:1/30:4)+HCO2,858.71925,812.71375,514.42605,459.38495,413.37945,279.26875
Cer_AP(t22:1/31:0)+HCO2,880.79745,834.79195,536.50425,481.46315,435.45775,279.26875
Cer_AP(t22:1/31:1)+HCO2,878.78185,832.77635,534.48865,479.44755,433.44205,279.26875
Cer_AP(t22:1/31:2)+HCO2,876.76615,830.76065,532.47295,477.43185,431.42635,279.26875
Cer_AP(t22:1/31:3)+HCO2,874.75055,828.74505,530.45735,475.41625,429.41075,279.26875
Cer_AP(t22:1/31:4)+HCO2,872.73485,826.72945,528.44175,473.40055,427.39505,279.26875
Cer_AP(t22:1/32:0)+HCO2,894.81315,848.80765,550.51995,495.47885,449.47335,279.26875
Cer_AP(t22:1/32:1)+HCO2,892.79745,846.79195,548.50425,493.46315,447.45775,279.26875
Cer_AP(t22:1/32:2)+HCO2,890.78185,844.77635,546.48865,491.44755,445.44205,279.26875
Cer_AP(t22:1/32:3)+HCO2,888.76615,842.76065,544.47295,489.43185,443.42635,279.26875
Cer_AP(t22:1/32:4)+HCO2,886.75055,840.74505,542.45735,487.41625,441.41075,279.26875
Cer_AP(t22:1/33:0)+HCO2,908.82875,862.82335,564.53555,509.49445,463.48895,279.26875
Cer_AP(t22:1/33:1)+HCO2,906.81315,860.80765,562.51995,507.47885,461.47335,279.26875
Cer_AP(t22:1/33:2)+HCO2,904.79745,858.79195,560.50425,505.46315,459.45775,279.26875
Cer_AP(t22:1/33:3)+HCO2,902.78185,856.77635,558.48865,503.44755,457.44205,279.26875
Cer_AP(t22:1/33:4)+HCO2,900.76615,854.76065,556.47295,501.43185,455.42635,279.26875
Cer_AP(t22:1/34:0)+HCO2,922.84445,876.83895,578.55125,523.51015,477.50465,279.26875
Cer_AP(t22:1/34:1)+HCO2,920.82875,874.82335,576.53555,521.49455,475.48895,279.26875
Cer_AP(t22:1/34:2)+HCO2,918.81315,872.80765,574.51995,519.47885,473.47335,279.26875
Cer_AP(t22:1/34:3)+HCO2,916.79745,870.79195,572.50425,517.46315,471.45775,279.26875
Cer_AP(t22:1/34:4)+HCO2,914.78185,868.77635,570.48865,515.44755,469.44205,279.26875
Cer_AP(t22:1/35:0)+HCO2,936.86015,890.85465,592.56685,537.52575,491.52025,279.26875
Cer_AP(t22:1/35:1)+HCO2,934.84445,888.83895,590.55125,535.51015,489.50465,279.26875
Cer_AP(t22:1/35:2)+HCO2,932.82875,886.82335,588.53555,533.49455,487.48895,279.26875
Cer_AP(t22:1/35:3)+HCO2,930.81315,884.80765,586.51995,531.47885,485.47335,279.26875
Cer_AP(t22:1/35:4)+HCO2,928.79745,882.79195,584.50425,529.46315,483.45775,279.26875
Cer_AP(t22:1/36:0)+HCO2,950.87575,904.87025,606.58255,551.54145,505.53595,279.26875
Cer_AP(t22:1/36:1)+HCO2,948.86015,902.85465,604.56685,549.52575,503.52025,279.26875
Cer_AP(t22:1/36:2)+HCO2,946.84445,900.83895,602.55125,547.51015,501.50465,279.26875
Cer_AP(t22:1/36:3)+HCO2,944.82875,898.82335,600.53555,545.49455,499.48895,279.26875
Cer_AP(t22:1/36:4)+HCO2,942.81315,896.80765,598.51995,543.47885,497.47335,279.26875
Cer_AP(t16:2/14:0)+HCO2,556.42185,510.41645,298.23825,243.19715,197.19165,193.15925
Cer_AP(t16:2/14:1)+HCO2,554.40625,508.40075,296.22255,241.18145,195.17595,193.15925
Cer_AP(t16:2/14:2)+HCO2,552.39055,506.38515,294.20695,239.16585,193.16035,193.15925
Cer_AP(t16:2/14:3)+HCO2,550.37495,504.36945,292.19125,237.15015,191.14465,193.15925
Cer_AP(t16:2/15:0)+HCO2,570.43755,524.43205,312.25385,257.21275,211.20725,193.15925
Cer_AP(t16:2/15:1)+HCO2,568.42185,522.41635,310.23825,255.19715,209.19165,193.15925
Cer_AP(t16:2/15:2)+HCO2,566.40625,520.40075,308.22255,253.18145,207.17595,193.15925
Cer_AP(t16:2/15:3)+HCO2,564.39055,518.38505,306.20695,251.16585,205.16035,193.15925
Cer_AP(t16:2/16:0)+HCO2,584.45315,538.44765,326.26955,271.22845,225.22295,193.15925
Cer_AP(t16:2/16:1)+HCO2,582.43755,536.43205,324.25385,269.21275,223.20725,193.15925
Cer_AP(t16:2/16:2)+HCO2,580.42185,534.41635,322.23825,267.19715,221.19165,193.15925
Cer_AP(t16:2/16:3)+HCO2,578.40625,532.40075,320.22255,265.18145,219.17595,193.15925
Cer_AP(t16:2/16:4)+HCO2,576.39055,530.38505,318.20695,263.16585,217.16035,193.15925
Cer_AP(t16:2/17:0)+HCO2,598.46885,552.46335,340.28515,285.24405,239.23855,193.15925
Cer_AP(t16:2/17:1)+HCO2,596.45315,550.44765,338.26955,283.22845,237.22295,193.15925
Cer_AP(t16:2/17:2)+HCO2,594.43755,548.43205,336.25385,281.21275,235.20725,193.15925
Cer_AP(t16:2/17:3)+HCO2,592.42185,546.41635,334.23825,279.19715,233.19165,193.15925
Cer_AP(t16:2/18:0)+HCO2,612.48445,566.47905,354.30085,299.25975,253.25425,193.15925
Cer_AP(t16:2/18:1)+HCO2,610.46885,564.46335,352.28515,297.24405,251.23855,193.15925
Cer_AP(t16:2/18:2)+HCO2,608.45315,562.44765,350.26955,295.22845,249.22295,193.15925
Cer_AP(t16:2/18:3)+HCO2,606.43755,560.43205,348.25385,293.21275,247.20725,193.15925
Cer_AP(t16:2/18:4)+HCO2,604.42185,558.41635,346.23825,291.19715,245.19165,193.15925
Cer_AP(t16:2/19:0)+HCO2,626.50015,580.49465,368.31645,313.27535,267.26985,193.15925
Cer_AP(t16:2/19:1)+HCO2,624.48445,578.47905,366.30085,311.25975,265.25425,193.15925
Cer_AP(t16:2/19:2)+HCO2,622.46885,576.46335,364.28515,309.24405,263.23855,193.15925
Cer_AP(t16:2/19:3)+HCO2,620.45315,574.44765,362.26955,307.22845,261.22295,193.15925
Cer_AP(t16:2/19:4)+HCO2,618.43755,572.43205,360.25385,305.21275,259.20725,193.15925
Cer_AP(t16:2/20:0)+HCO2,640.51585,594.51035,382.33215,327.29105,281.28555,193.15925
Cer_AP(t16:2/20:1)+HCO2,638.50015,592.49465,380.31645,325.27535,279.26985,193.15925
Cer_AP(t16:2/20:2)+HCO2,636.48445,590.47905,378.30085,323.25975,277.25425,193.15925
Cer_AP(t16:2/20:3)+HCO2,634.46885,588.46335,376.28515,321.24405,275.23855,193.15925
Cer_AP(t16:2/20:4)+HCO2,632.45315,586.44765,374.26955,319.22845,273.22295,193.15925
Cer_AP(t16:2/21:0)+HCO2,654.53145,608.52595,396.34775,341.30665,295.30115,193.15925
Cer_AP(t16:2/21:1)+HCO2,652.51585,606.51035,394.33215,339.29105,293.28555,193.15925
Cer_AP(t16:2/21:2)+HCO2,650.50015,604.49465,392.31645,337.27535,291.26985,193.15925
Cer_AP(t16:2/21:3)+HCO2,648.48445,602.47905,390.30085,335.25975,289.25425,193.15925
Cer_AP(t16:2/21:4)+HCO2,646.46885,600.46335,388.28515,333.24405,287.23855,193.15925
Cer_AP(t16:2/22:0)+HCO2,668.54705,622.54165,410.36345,355.32235,309.31685,193.15925
Cer_AP(t16:2/22:1)+HCO2,666.53145,620.52595,408.34775,353.30665,307.30115,193.15925
Cer_AP(t16:2/22:2)+HCO2,664.51585,618.51035,406.33215,351.29105,305.28555,193.15925
Cer_AP(t16:2/22:3)+HCO2,662.50015,616.49465,404.31645,349.27535,303.26985,193.15925
Cer_AP(t16:2/22:4)+HCO2,660.48445,614.47905,402.30085,347.25975,301.25425,193.15925
Cer_AP(t16:2/23:0)+HCO2,682.56275,636.55725,424.37905,369.33795,323.33245,193.15925
Cer_AP(t16:2/23:1)+HCO2,680.54705,634.54165,422.36345,367.32235,321.31685,193.15925
Cer_AP(t16:2/23:2)+HCO2,678.53145,632.52595,420.34775,365.30665,319.30115,193.15925
Cer_AP(t16:2/23:3)+HCO2,676.51585,630.51035,418.33215,363.29105,317.28555,193.15925
Cer_AP(t16:2/23:4)+HCO2,674.50015,628.49465,416.31645,361.27535,315.26985,193.15925
Cer_AP(t16:2/24:0)+HCO2,696.57835,650.57285,438.39475,383.35365,337.34815,193.15925
Cer_AP(t16:2/24:1)+HCO2,694.56275,648.55725,436.37905,381.33795,335.33245,193.15925
Cer_AP(t16:2/24:2)+HCO2,692.54705,646.54165,434.36345,379.32235,333.31685,193.15925
Cer_AP(t16:2/24:3)+HCO2,690.53145,644.52595,432.34775,377.30665,331.30115,193.15925
Cer_AP(t16:2/24:4)+HCO2,688.51585,642.51035,430.33215,375.29105,329.28555,193.15925
Cer_AP(t16:2/25:0)+HCO2,710.59405,664.58855,452.41045,397.36925,351.36385,193.15925
Cer_AP(t16:2/25:1)+HCO2,708.57835,662.57285,450.39475,395.35365,349.34815,193.15925
Cer_AP(t16:2/25:2)+HCO2,706.56275,660.55725,448.37905,393.33795,347.33245,193.15925
Cer_AP(t16:2/25:3)+HCO2,704.54705,658.54165,446.36345,391.32235,345.31685,193.15925
Cer_AP(t16:2/25:4)+HCO2,702.53145,656.52595,444.34775,389.30665,343.30115,193.15925
Cer_AP(t16:2/26:0)+HCO2,724.60965,678.60415,466.42605,411.38495,365.37945,193.15925
Cer_AP(t16:2/26:1)+HCO2,722.59405,676.58855,464.41045,409.36925,363.36385,193.15925
Cer_AP(t16:2/26:2)+HCO2,720.57835,674.57285,462.39475,407.35365,361.34815,193.15925
Cer_AP(t16:2/26:3)+HCO2,718.56275,672.55725,460.37905,405.33795,359.33245,193.15925
Cer_AP(t16:2/26:4)+HCO2,716.54705,670.54165,458.36345,403.32235,357.31685,193.15925
Cer_AP(t16:2/27:0)+HCO2,738.62535,692.61985,480.44165,425.40055,379.39505,193.15925
Cer_AP(t16:2/27:1)+HCO2,736.60965,690.60415,478.42605,423.38495,377.37945,193.15925
Cer_AP(t16:2/27:2)+HCO2,734.59405,688.58855,476.41045,421.36925,375.36385,193.15925
Cer_AP(t16:2/27:3)+HCO2,732.57835,686.57285,474.39475,419.35365,373.34815,193.15925
Cer_AP(t16:2/27:4)+HCO2,730.56275,684.55725,472.37905,417.33795,371.33245,193.15925
Cer_AP(t16:2/28:0)+HCO2,752.64095,706.63545,494.45735,439.41625,393.41075,193.15925
Cer_AP(t16:2/28:1)+HCO2,750.62535,704.61985,492.44165,437.40055,391.39505,193.15925
Cer_AP(t16:2/28:2)+HCO2,748.60965,702.60415,490.42605,435.38495,389.37945,193.15925
Cer_AP(t16:2/28:3)+HCO2,746.59405,700.58855,488.41045,433.36925,387.36385,193.15925
Cer_AP(t16:2/28:4)+HCO2,744.57835,698.57285,486.39475,431.35365,385.34815,193.15925
Cer_AP(t16:2/29:0)+HCO2,766.65665,720.65115,508.47295,453.43185,407.42635,193.15925
Cer_AP(t16:2/29:1)+HCO2,764.64095,718.63545,506.45735,451.41625,405.41075,193.15925
Cer_AP(t16:2/29:2)+HCO2,762.62535,716.61985,504.44165,449.40055,403.39505,193.15925
Cer_AP(t16:2/29:3)+HCO2,760.60965,714.60415,502.42605,447.38495,401.37945,193.15925
Cer_AP(t16:2/29:4)+HCO2,758.59405,712.58855,500.41045,445.36925,399.36385,193.15925
Cer_AP(t16:2/30:0)+HCO2,780.67235,734.66685,522.48865,467.44755,421.44205,193.15925
Cer_AP(t16:2/30:1)+HCO2,778.65665,732.65115,520.47295,465.43185,419.42635,193.15925
Cer_AP(t16:2/30:2)+HCO2,776.64095,730.63545,518.45735,463.41625,417.41075,193.15925
Cer_AP(t16:2/30:3)+HCO2,774.62535,728.61985,516.44175,461.40055,415.39505,193.15925
Cer_AP(t16:2/30:4)+HCO2,772.60965,726.60415,514.42605,459.38495,413.37945,193.15925
Cer_AP(t16:2/31:0)+HCO2,794.68795,748.68245,536.50425,481.46315,435.45775,193.15925
Cer_AP(t16:2/31:1)+HCO2,792.67235,746.66685,534.48865,479.44755,433.44205,193.15925
Cer_AP(t16:2/31:2)+HCO2,790.65665,744.65115,532.47295,477.43185,431.42635,193.15925
Cer_AP(t16:2/31:3)+HCO2,788.64095,742.63545,530.45735,475.41625,429.41075,193.15925
Cer_AP(t16:2/31:4)+HCO2,786.62535,740.61985,528.44175,473.40055,427.39505,193.15925
Cer_AP(t16:2/32:0)+HCO2,808.70355,762.69815,550.51995,495.47885,449.47335,193.15925
Cer_AP(t16:2/32:1)+HCO2,806.68795,760.68245,548.50425,493.46315,447.45775,193.15925
Cer_AP(t16:2/32:2)+HCO2,804.67235,758.66685,546.48865,491.44755,445.44205,193.15925
Cer_AP(t16:2/32:3)+HCO2,802.65665,756.65115,544.47295,489.43185,443.42635,193.15925
Cer_AP(t16:2/32:4)+HCO2,800.64095,754.63545,542.45735,487.41625,441.41075,193.15925
Cer_AP(t16:2/33:0)+HCO2,822.71925,776.71375,564.53555,509.49445,463.48895,193.15925
Cer_AP(t16:2/33:1)+HCO2,820.70355,774.69815,562.51995,507.47885,461.47335,193.15925
Cer_AP(t16:2/33:2)+HCO2,818.68795,772.68245,560.50425,505.46315,459.45775,193.15925
Cer_AP(t16:2/33:3)+HCO2,816.67235,770.66685,558.48865,503.44755,457.44205,193.15925
Cer_AP(t16:2/33:4)+HCO2,814.65665,768.65115,556.47295,501.43185,455.42635,193.15925
Cer_AP(t16:2/34:0)+HCO2,836.73485,790.72945,578.55125,523.51015,477.50465,193.15925
Cer_AP(t16:2/34:1)+HCO2,834.71925,788.71375,576.53555,521.49455,475.48895,193.15925
Cer_AP(t16:2/34:2)+HCO2,832.70355,786.69815,574.51995,519.47885,473.47335,193.15925
Cer_AP(t16:2/34:3)+HCO2,830.68795,784.68245,572.50425,517.46315,471.45775,193.15925
Cer_AP(t16:2/34:4)+HCO2,828.67235,782.66685,570.48865,515.44755,469.44205,193.15925
Cer_AP(t16:2/35:0)+HCO2,850.75055,804.74505,592.56685,537.52575,491.52025,193.15925
Cer_AP(t16:2/35:1)+HCO2,848.73485,802.72945,590.55125,535.51015,489.50465,193.15925
Cer_AP(t16:2/35:2)+HCO2,846.71925,800.71375,588.53555,533.49455,487.48895,193.15925
Cer_AP(t16:2/35:3)+HCO2,844.70355,798.69815,586.51995,531.47885,485.47335,193.15925
Cer_AP(t16:2/35:4)+HCO2,842.68795,796.68245,584.50425,529.46315,483.45775,193.15925
Cer_AP(t16:2/36:0)+HCO2,864.76615,818.76065,606.58255,551.54145,505.53595,193.15925
Cer_AP(t16:2/36:1)+HCO2,862.75055,816.74505,604.56685,549.52575,503.52025,193.15925
Cer_AP(t16:2/36:2)+HCO2,860.73485,814.72945,602.55125,547.51015,501.50465,193.15925
Cer_AP(t16:2/36:3)+HCO2,858.71925,812.71375,600.53555,545.49455,499.48895,193.15925
Cer_AP(t16:2/36:4)+HCO2,856.70355,810.69815,598.51995,543.47885,497.47335,193.15925
Cer_AP(t17:2/14:0)+HCO2,570.43755,524.43205,298.23825,243.19715,197.19165,207.17485
Cer_AP(t17:2/14:1)+HCO2,568.42185,522.41635,296.22255,241.18145,195.17595,207.17485
Cer_AP(t17:2/14:2)+HCO2,566.40625,520.40075,294.20695,239.16585,193.16035,207.17485
Cer_AP(t17:2/14:3)+HCO2,564.39055,518.38505,292.19125,237.15015,191.14465,207.17485
Cer_AP(t17:2/15:0)+HCO2,584.45315,538.44765,312.25385,257.21275,211.20725,207.17485
Cer_AP(t17:2/15:1)+HCO2,582.43755,536.43205,310.23825,255.19715,209.19165,207.17485
Cer_AP(t17:2/15:2)+HCO2,580.42185,534.41635,308.22255,253.18145,207.17595,207.17485
Cer_AP(t17:2/15:3)+HCO2,578.40625,532.40075,306.20695,251.16585,205.16035,207.17485
Cer_AP(t17:2/16:0)+HCO2,598.46885,552.46335,326.26955,271.22845,225.22295,207.17485
Cer_AP(t17:2/16:1)+HCO2,596.45315,550.44765,324.25385,269.21275,223.20725,207.17485
Cer_AP(t17:2/16:2)+HCO2,594.43755,548.43205,322.23825,267.19715,221.19165,207.17485
Cer_AP(t17:2/16:3)+HCO2,592.42185,546.41635,320.22255,265.18145,219.17595,207.17485
Cer_AP(t17:2/16:4)+HCO2,590.40625,544.40075,318.20695,263.16585,217.16035,207.17485
Cer_AP(t17:2/17:0)+HCO2,612.48445,566.47905,340.28515,285.24405,239.23855,207.17485
Cer_AP(t17:2/17:1)+HCO2,610.46885,564.46335,338.26955,283.22845,237.22295,207.17485
Cer_AP(t17:2/17:2)+HCO2,608.45315,562.44765,336.25385,281.21275,235.20725,207.17485
Cer_AP(t17:2/17:3)+HCO2,606.43755,560.43205,334.23825,279.19715,233.19165,207.17485
Cer_AP(t17:2/18:0)+HCO2,626.50015,580.49465,354.30085,299.25975,253.25425,207.17485
Cer_AP(t17:2/18:1)+HCO2,624.48445,578.47905,352.28515,297.24405,251.23855,207.17485
Cer_AP(t17:2/18:2)+HCO2,622.46885,576.46335,350.26955,295.22845,249.22295,207.17485
Cer_AP(t17:2/18:3)+HCO2,620.45315,574.44765,348.25385,293.21275,247.20725,207.17485
Cer_AP(t17:2/18:4)+HCO2,618.43755,572.43205,346.23825,291.19715,245.19165,207.17485
Cer_AP(t17:2/19:0)+HCO2,640.51585,594.51035,368.31645,313.27535,267.26985,207.17485
Cer_AP(t17:2/19:1)+HCO2,638.50015,592.49465,366.30085,311.25975,265.25425,207.17485
Cer_AP(t17:2/19:2)+HCO2,636.48445,590.47905,364.28515,309.24405,263.23855,207.17485
Cer_AP(t17:2/19:3)+HCO2,634.46885,588.46335,362.26955,307.22845,261.22295,207.17485
